FileName;Group;ShortName
GSM4017139_Control_1_E_coli_2_.CEL;control;control1
GSM4017140_Control_2_E_coli_2_.CEL;control;control2
GSM4017141_Control_3_E_coli_2_.CEL;control;control3
GSM4017142_Benz_chlor_1_E_coli_2_.CEL;benz;benz1
GSM4017143_Benz_chlor_2_E_coli_2_.CEL;benz;benz2
GSM4017144_Benz_chlor_3_E_coli_2_.CEL;benz;benz3
GSM4017145_Chlorhex_1_E_coli_2_.CEL;chlorhex;chlorhex1
GSM4017146_Chlorhex_2_E_coli_2_.CEL;chlorhex;chlorhex2
GSM4017147_Chlorhex_3_E_coli_2_.CEL;chlorhex;chlorhex3
GSM4017148_H2O2_1_E_coli_2_.CEL;perox;perox1
GSM4017149_H2O2_2_E_coli_2_.CEL;perox;perox2
GSM4017150_H2O2_3_E_coli_2_.CEL;perox;perox3
GSM4017151_Tric_1_E_coli_2_.CEL;tric;tric1
GSM4017152_Tric_2_E_coli_2_.CEL;tric;tric2
GSM4017153_Tric_3_E_coli_2_.CEL;tric;tric3
